2025-12-11 11:12:41.004 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-12-11 11:12:41.012 [main] INFO  c.tgmeng.TgmengApiApplicationTests - Starting TgmengApiApplicationTests using Java 21.0.8 with PID 66091 (started by bjsttlp317 in /Users/bjsttlp317/IdeaProjects/tgmeng-api)
2025-12-11 11:12:41.012 [main] INFO  c.tgmeng.TgmengApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-12-11 11:12:41.587 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'IAIClient' and Proxy of 'com.tgmeng.common.forest.client.ai.IAIClient' client interface
2025-12-11 11:12:41.587 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'ISystemLocalClient' and Proxy of 'com.tgmeng.common.forest.client.system.ISystemLocalClient' client interface
2025-12-11 11:12:41.588 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'ITopSearchCommonClient' and Proxy of 'com.tgmeng.common.forest.client.topsearch.ITopSearchCommonClient' client interface
2025-12-11 11:12:41.588 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'IUmamiClient' and Proxy of 'com.tgmeng.common.forest.client.umami.IUmamiClient' client interface
2025-12-11 11:12:41.588 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'IWebHookClient' and Proxy of 'com.tgmeng.common.forest.client.webhook.IWebHookClient' client interface
2025-12-11 11:12:41.627 [main] INFO  com.tgmeng.common.util.CacheUtil - Initializing cache with expireTime=172800 seconds and maxSize=5000
2025-12-11 11:12:41.670 [main] INFO  c.t.common.util.SubscriptionUtil - ✅ ControllerApiSchedule 已加载，配置检查通过！
2025-12-11 11:12:42.031 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.web.context.support.GenericWebApplicationContext@78830d9a
2025-12-11 11:12:42.187 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-12-11 11:12:42.219 [main] INFO  c.tgmeng.TgmengApiApplicationTests - Started TgmengApiApplicationTests in 1.373 seconds (process running for 1.748)
2025-12-11 11:13:22.990 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-12-11 11:13:23.026 [main] INFO  c.tgmeng.TgmengApiApplicationTests - Starting TgmengApiApplicationTests using Java 21.0.8 with PID 66260 (started by bjsttlp317 in /Users/bjsttlp317/IdeaProjects/tgmeng-api)
2025-12-11 11:13:23.027 [main] INFO  c.tgmeng.TgmengApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-12-11 11:13:24.049 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'IAIClient' and Proxy of 'com.tgmeng.common.forest.client.ai.IAIClient' client interface
2025-12-11 11:13:24.049 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'ISystemLocalClient' and Proxy of 'com.tgmeng.common.forest.client.system.ISystemLocalClient' client interface
2025-12-11 11:13:24.049 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'ITopSearchCommonClient' and Proxy of 'com.tgmeng.common.forest.client.topsearch.ITopSearchCommonClient' client interface
2025-12-11 11:13:24.049 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'IUmamiClient' and Proxy of 'com.tgmeng.common.forest.client.umami.IUmamiClient' client interface
2025-12-11 11:13:24.049 [main] INFO  c.d.f.scanner.ClassPathClientScanner - [Forest] Created Forest Client Bean with name 'IWebHookClient' and Proxy of 'com.tgmeng.common.forest.client.webhook.IWebHookClient' client interface
2025-12-11 11:13:24.103 [main] INFO  com.tgmeng.common.util.CacheUtil - Initializing cache with expireTime=172800 seconds and maxSize=5000
2025-12-11 11:13:24.161 [main] INFO  c.t.common.util.SubscriptionUtil - ✅ ControllerApiSchedule 已加载，配置检查通过！
